dataset,n_horizons,slope,sign
Bitcoin,30,-0.0161333,neg
COVID_Deaths,30,0.00669056,pos
Electricity_Weekly,8,-0.0245913,neg
FREDMD,12,0.00337864,pos
Favorita_Daily,16,0.00111373,pos
Favorita_Daily_with_Cov,16,0.000420056,pos
Hospital,12,-0.00385388,neg
Kaggle_Daily,8,0.000802369,pos
Kaggle_Daily_with_Cov,59,6.0867e-05,pos
M1_Monthly,18,-0.00194203,neg
M1_Quarterly,8,-0.0117866,neg
M3_Monthly,18,0.00308135,pos
M3_Quarterly,8,-0.0206566,neg
M4_Hourly,48,-0.00201562,neg
M4_Weekly,13,0.00898987,pos
M5_Daily,28,-0.000365287,neg
NN5_Daily,56,-0.00104468,neg
NN5_Weekly,8,-0.0143497,neg
Rosmann_Daily,47,0.00179693,pos
Rosmann_Daily_with_Cov,47,8.44152e-05,pos
Tourism_Monthly,24,-0.00384334,neg
Tourism_Quarterly,8,-0.0142253,neg
Traffic_Weekly,8,0.00964638,pos
Vehicle_Trips,30,0.000706789,pos
