dataset,variant,family,depth,decay,lam_w,bet_w,fit_s,best_iter,mase_mean,mase_med,msmape_mean,msmape_med,rmse_mean,rmse_med
Bitcoin,base,mDT,8,0.001,0.0,0.0,0.13,-1,4.878943688707339,3.2813684611439218,29.978028165906437,18.623504027406735,9.195004529778833e+17,47068.798146235946
Bitcoin,base,mGBT,8,0.001,0.0,0.0,8.51,62,4.907198883611314,3.1679261603326365,30.93450249160392,19.841513245129235,1.40290845977047e+18,29408.328575869957
Bitcoin,base,mRF,40,0.001,0.0,0.0,12.01,-1,4.294696727617496,3.167544228067361,24.37636949453505,19.131262507267728,1.2097615869414418e+18,29431.023905722657
Bitcoin,deriv,mDT,4,0.001,0.5,0.0,0.07,-1,7.663996980093007,4.245355122494383,36.6631648822341,22.479857450011828,7.64280405201943e+17,48183.78102166634
Bitcoin,deriv,mGBT,8,0.001,0.5,0.0,5.86,32,5.8741681747682994,3.0169953670421874,35.58544738832736,18.553552158857713,6.259459473668248e+17,25768.155815981656
Bitcoin,deriv,mRF,40,0.001,0.5,0.0,13.06,-1,4.379777689197912,3.2981465108743664,24.700247755121282,19.975799114502216,1.328399720840592e+18,30063.885323203074
Bitcoin,seas,mDT,8,0.001,0.0,0.2,0.13,-1,4.725494644634905,2.9729092286836973,29.323648019260954,17.725303206507654,1.0231155157887133e+18,32135.080274715605
Bitcoin,seas,mGBT,8,0.001,0.0,0.2,8.76,67,5.10096696083824,3.2344633904256255,31.280648730544005,20.012466026896135,1.622968748287654e+18,29935.032217367327
Bitcoin,seas,mRF,40,0.001,0.0,0.2,12.02,-1,4.283578951262708,3.2036020726667047,24.585522853848943,19.52183022527838,1.2782830403800696e+18,29803.718433156882
Bitcoin,both,mDT,4,1.0,0.2,0.2,0.07,-1,5.809178654094716,3.646045760482573,33.58675482324927,23.995683352193055,1.9892886256855903e+18,52249.96617969038
Bitcoin,both,mGBT,8,1.0,0.2,0.2,6.8,43,4.836146823697134,3.144858324054173,31.20965088842938,20.101010245206663,1.441056968570324e+18,30022.518738280807
Bitcoin,both,mRF,40,1.0,0.2,0.2,12.08,-1,4.162670484187591,3.1442403887324573,24.427758870799558,19.826812229329207,1.5160634682785797e+18,28445.10590131969
COVID Deaths,base,mDT,12,0.001,0.0,0.0,0.13,-1,5.539931499031161,1.0829148271690134,34.68667087690762,4.965478588500618,277.91395521951034,8.617818456404548
COVID Deaths,base,mGBT,8,0.001,0.0,0.0,10.46,177,6.353552381396082,1.4423111182249364,36.60536085289623,5.964570736151423,263.44111995479557,15.160670909434694
COVID Deaths,base,mRF,40,0.001,0.0,0.0,4.5,-1,5.618901596047358,0.9424832476697516,34.79889192918185,4.768537931345788,255.89370420007782,10.936085937377882
COVID Deaths,deriv,mDT,12,0.001,0.2,0.0,0.13,-1,6.221967601323892,1.1828130543411055,35.94243069573059,5.756745757312175,560.3164713763133,9.076329437819776
COVID Deaths,deriv,mGBT,8,0.001,0.2,0.0,18.32,363,6.542337806905757,1.3575437836267117,36.62799350182796,5.9215260154282845,261.337333695875,16.172822552853738
COVID Deaths,deriv,mRF,40,0.001,0.2,0.0,4.69,-1,5.605093513428796,0.9768245911167297,34.80690506122139,4.62504796697277,252.8505627707275,11.279181533690243
COVID Deaths,seas,mDT,12,0.001,0.0,0.2,0.13,-1,6.1930043613819805,1.1604226126775166,35.868507058305646,5.7735551547016,496.2827699121097,12.67528863228853
COVID Deaths,seas,mGBT,8,0.001,0.0,0.2,18.47,367,6.266771443930132,1.272025043710176,36.37176844781605,5.860825434767165,260.28632118205627,13.117741996410631
COVID Deaths,seas,mRF,40,0.001,0.0,0.2,4.58,-1,5.616267480913924,0.9535662144873758,34.79545156526794,4.897091256949482,265.14041521400725,10.502019625438175
COVID Deaths,both,mDT,12,0.001,0.2,0.2,0.13,-1,5.9733954469895005,1.0937445794177325,35.398205497405215,5.514786623446134,296.77113199941317,11.043859183148232
COVID Deaths,both,mGBT,8,0.001,0.2,0.2,17.4,343,6.206650268711865,1.4298932140268743,36.37934169782472,6.675572646399763,269.2709638797026,14.401372635316616
COVID Deaths,both,mRF,40,0.001,0.2,0.2,4.63,-1,5.602607820208922,1.0440533153806988,34.819508482690836,4.658514521387219,262.2953573333587,10.212211921686428
Chaotic logistic,base,mDT,8,0.001,0.0,0.0,0.07,-1,0.6282351179751055,0.6139900035098613,40.70145071867409,34.29734942617309,0.24963284235008673,0.23551348684942813
Chaotic logistic,base,mGBT,8,0.001,0.0,0.0,10.92,217,0.6279874482364809,0.5955527640761978,40.83557744147166,34.1620619997648,0.24980674082370438,0.23717111041206218
Chaotic logistic,base,mRF,40,0.001,0.0,0.0,4.95,-1,0.6248250674143794,0.5877566688675604,40.529216821061915,32.8349984752991,0.2481579303502736,0.23093586145882639
Chaotic logistic,deriv,mDT,8,0.001,0.5,0.0,0.07,-1,0.6308358616401993,0.6095089889393953,40.937111283155126,33.663319597906124,0.25087744561032815,0.23607619565777294
Chaotic logistic,deriv,mGBT,8,0.001,0.5,0.0,11.24,224,0.6252694338697988,0.5983564179730607,40.660446174817956,34.61346074638682,0.24882263882576613,0.2325686915024371
Chaotic logistic,deriv,mRF,40,0.001,0.5,0.0,4.87,-1,0.6254957673135133,0.5897480315611813,40.57956291085907,32.28029438742814,0.2484046769890929,0.22767941214881987
Electricity Weekly,base,mDT,8,0.001,0.0,0.0,0.06,-1,1.0667067416123517,0.9449279352449651,10.661567286912739,8.482678298949539,65010.2244354293,9862.49144486321
Electricity Weekly,base,mGBT,8,0.001,0.0,0.0,9.34,251,0.8213487570633422,0.7557414233059258,9.695680432902204,6.5139837910330955,41844.65081425773,7700.170720510033
Electricity Weekly,base,mRF,40,0.001,0.0,0.0,8.86,-1,0.8390217983184962,0.7950225993619935,9.596415630716828,6.645738018379458,44450.88968346562,8284.818087924441
Electricity Weekly,deriv,mDT,8,0.001,0.2,0.0,0.06,-1,1.0625891704811155,0.9436040453860742,10.788560245174752,8.392913481085934,66197.16037109631,9899.44260425808
Electricity Weekly,deriv,mGBT,8,0.001,0.2,0.0,11.01,302,0.8255122724143189,0.7469410178294961,9.557287234060155,6.442532174241911,36493.38441324234,7806.594608086166
Electricity Weekly,deriv,mRF,40,0.001,0.2,0.0,8.88,-1,0.837058407757998,0.7855220580362308,9.594217445869504,6.582914870979256,45481.61707276065,8250.740003389446
Electricity Weekly,seas,mDT,8,0.5,0.0,0.2,0.06,-1,0.9025670147951361,0.7696850605127104,9.864427974476017,6.893964357231068,52303.415605569186,8369.577841803015
Electricity Weekly,seas,mGBT,8,0.5,0.0,0.2,6.26,157,0.819183419528908,0.7257127681634464,9.543598345667048,6.468855695250431,36786.78587992219,7882.673293369452
Electricity Weekly,seas,mRF,40,0.5,0.0,0.2,8.58,-1,0.7746164312225762,0.70396666943055,8.844937550103706,6.048658175922948,36905.971627301566,7254.594277077113
Electricity Weekly,both,mDT,8,0.001,0.5,0.5,0.06,-1,1.005238936847443,0.8910086733589705,10.514383792309188,7.7501542447349765,50918.03126737597,9388.553533540311
Electricity Weekly,both,mGBT,8,0.001,0.5,0.5,12.94,394,0.8339819821103801,0.7631017234046863,9.711690999416513,6.531337374160762,39425.389767354885,7805.400686383756
Electricity Weekly,both,mRF,40,0.001,0.5,0.5,8.81,-1,0.8365043411306496,0.7904545843247132,9.583175917188958,6.6458218260868005,46273.69941104895,7943.252364428566
FREDMD,base,mDT,8,0.5,0.0,0.0,0.14,-1,1.1085842562515245,0.6625079164277051,9.426937731922825,3.0382887867334634,5037.022301777807,3.9143933800297543
