method,type,rel_mean_pct,rel_ci_lo_pct,rel_ci_hi_pct,n_seeds
arima,A,-30.1686,-31.5974,-28.6781,5
ets,A,-29.1260,-30.5571,-27.6790,5
mDT_base,A,0.0000,0.0000,0.0000,5
mDT_both,A,-2.3144,-4.7450,1.2816,5
mDT_deriv,A,4.8306,1.8651,8.4343,5
mDT_seas,A,-1.5188,-4.7709,1.6440,5
naive,A,192.2012,188.0038,197.0395,5
skDT,A,0.1956,-0.7913,1.2120,5
skRF,A,-14.2067,-15.8760,-11.9239,5
snaive,A,-7.4867,-9.5781,-5.4569,5
arima,ALL,-34.4513,-35.2574,-33.6453,5
ets,ALL,-29.4139,-30.1359,-28.5715,5
mDT_base,ALL,0.0000,0.0000,0.0000,5
mDT_both,ALL,2.6396,0.9894,4.7019,5
mDT_deriv,ALL,4.1118,2.5010,6.6885,5
mDT_seas,ALL,-1.3766,-3.9305,1.5143,5
naive,ALL,116.8241,114.2716,119.3766,5
skDT,ALL,1.2209,0.0471,2.5240,5
skRF,ALL,-10.6882,-11.8648,-9.4915,5
snaive,ALL,-1.5046,-2.7014,-0.2128,5
arima,B,-41.5497,-42.9924,-39.7513,5
ets,B,-37.9969,-39.5140,-36.1607,5
mDT_base,B,0.0000,0.0000,0.0000,5
mDT_both,B,-12.1332,-15.9127,-9.0832,5
mDT_deriv,B,1.6469,0.8320,2.3152,5
mDT_seas,B,-2.8971,-6.2072,0.4130,5
naive,B,155.1771,148.4135,163.1951,5
skDT,B,3.1231,0.4932,5.2626,5
skRF,B,-5.4599,-7.0636,-3.7300,5
snaive,B,-26.2876,-28.2585,-24.0159,5
arima,C,-45.8011,-47.7829,-44.0759,5
ets,C,-34.9086,-36.7490,-32.8622,5
mDT_base,C,0.0000,0.0000,0.0000,5
mDT_both,C,45.3895,26.2880,69.2378,5
mDT_deriv,C,-0.7106,-5.4164,4.9639,5
mDT_seas,C,-1.8762,-6.9808,5.8271,5
naive,C,65.9579,59.9000,71.0283,5
skDT,C,-2.1253,-6.2644,2.1559,5
skRF,C,-19.1443,-21.1695,-17.0083,5
snaive,C,33.3245,28.1724,37.6300,5
arima,D,-7.0396,-9.4584,-5.1890,5
ets,D,3.4629,0.9727,5.9531,5
mDT_base,D,0.0000,0.0000,0.0000,5
mDT_both,D,4.2416,1.5079,6.9349,5
mDT_deriv,D,-0.2109,-3.0887,2.6670,5
mDT_seas,D,-0.5065,-6.1861,5.3906,5
naive,D,4.6838,1.6963,7.2947,5
skDT,D,-0.0823,-2.6967,2.7150,5
skRF,D,1.1139,-1.7975,4.4583,5
snaive,D,30.3511,27.3889,32.8992,5
