dataset,dt_base,dt_deriv,dt_seas,dt_both,gbt_base,gbt_deriv,gbt_seas,gbt_both,rf_base,rf_deriv,rf_seas,rf_both
Bitcoin,3.2813684611439218,4.245355122494383,2.9729092286836973,3.646045760482573,3.1679261603326365,3.0169953670421874,3.234463390425625,3.144858324054173,3.167544228067361,3.2981465108743664,3.2036020726667047,3.1442403887324573
COVID Deaths,1.0829148271690134,1.1828130543411055,1.1604226126775166,1.0937445794177325,1.4423111182249364,1.3575437836267117,1.272025043710176,1.4298932140268743,0.9424832476697516,0.9768245911167296,0.9535662144873758,1.0440533153806988
Chaotic logistic,0.6139900035098613,0.6095089889393953,0.6139900035098613,0.6095089889393953,0.5955527640761978,0.5983564179730607,0.5955527640761978,0.5983564179730607,0.5877566688675604,0.5897480315611813,0.5877566688675604,0.5897480315611813
Electricity Weekly,0.9449279352449652,0.9436040453860742,0.7696850605127104,0.8910086733589705,0.7557414233059258,0.7469410178294961,0.7257127681634464,0.7631017234046863,0.7950225993619935,0.7855220580362308,0.70396666943055,0.7904545843247132
FREDMD,0.6625079164277051,0.7773043874772717,0.6786849262105289,0.6293432310325218,0.4546856291678567,0.4983888981894848,0.4693673144313386,0.4908460272531952,0.4142036526193755,0.3971229174764228,0.425714305687186,0.3930311486274137
Favorita Daily,0.7244170431877981,0.7179336941510479,0.7266212858914214,0.7223706063294872,0.7101235514894326,0.7123471049702319,0.7129837251857523,0.7168168617704194,0.7190031933917878,0.7171036889091117,0.7153543066600249,0.719351817409722
Favorita Daily with Cov,0.7225375780260008,0.7237181640867816,0.7294801396193771,0.722537250727024,0.7097139690203828,0.7108801881505229,0.7096417293857966,0.710241826388998,0.7160357810013811,0.7165663577412806,0.7173331841969688,0.7146046725661942
Hospital,0.7990867579908676,0.796812749003984,0.7780320366132724,0.7816091954022989,0.76,0.7731958435163466,0.7771765863256271,0.7692307692307692,0.7678177169778984,0.762376313162322,0.766016713091922,0.7698962267707377
Kaggle Daily,0.6392781535666929,0.6340658530190537,0.6380710686719776,0.6470731040825916,0.5930899165722525,0.59238799347691,0.5958781638348218,0.5890586344520937,0.6543330668230424,0.6532642767650901,0.6612171775591206,0.6559606036440702
Kaggle Daily with Cov,0.7256063111623268,0.7229262525347714,0.7256063111623268,0.7229262525347714,0.7191145815512054,0.7164606119184351,0.7243425743840535,0.7184293501201372,0.727064134775713,0.7253111672305153,0.7293693629550152,0.7255080303547923
M4 Hourly,0.887314985067861,0.8700912856242728,0.8940199834694412,0.899496610988104,0.80227581413439,0.7620713552046445,0.7738569958435213,0.7501642626448548,0.5548849605113572,0.5662298494621265,0.5476030319921081,0.5867939283087638
M4 Weekly,0.446370992550656,0.4391373574055839,0.4489857572923209,0.4332723935055716,0.3704793442708212,0.3516585006086049,0.3670380866853524,0.3717013466445096,0.2983501593594673,0.3129317352372264,0.3098270253974227,0.3087272300705458
M5 Daily,1.3284716147699542,1.3155019542410824,1.329322031888849,1.3320106181880047,1.2650939620607715,1.2650939620607715,1.273048724606622,1.273048724606622,1.3938886178026544,1.401092580796861,1.4019821076435277,1.4007627713356792
M1 Monthly,1.2009292340884574,1.207970428641945,1.193148060044549,1.1635021816284008,1.0000486879738697,0.9855618006351388,0.9841206860863556,0.9976387757965488,1.0530983215213177,1.039173038493759,1.0472774711416208,1.0392702945017531
M1 Quarterly,1.5517750180511474,1.4834804143646407,1.4411670992366414,1.523766758892286,1.422389367707081,1.450056640957447,1.3468467804878048,1.3148942676604465,1.3992309454453369,1.3990299918602995,1.407086020015145,1.3981386620696408
